"","ID","Sex","Twin","Age"
"V3","I002","M","0",43
"V7","I006","M","0",53
"V10","I009","F","0",40
"V11","I010","F","0",46
"V17","I016","F","0",43
"V23","I022","M","0",51
"V25","I024","F","0",49
"V35","I034","F","0",38
"V40","I039","F","0",46
"V41","I040","F","0",43
"V42","I041","F","0",40
"V45","I044","F","0",52
"V46","I045","M","0",51
"V53","I052","F","0",42
"V57","I056","F","0",47
"V58","I057","F","0",44
"V66","I065","M","0",47
"V70","I069","F","0",45
"V72","I071","M","0",48
"V76","I075","F","0",50
"V78","I077","F","0",42
"V88","I087","M","0",47
"V92","I091","F","0",40
"V95","I094","F","0",43
"V96","I095","F","0",47
"V97","I096","F","0",48
"V98","I097","M","0",44
"V99","I098","M","0",41
"V110","I109","M","0",49
"V112","I111","M","0",48
"V115","I114","M","0",47
"V120","I119","F","0",50
"V133","I132","M","0",44
"V136","I135","M","0",39
"V142","I141","F","0",49
"V144","I143","M","0",46
"V148","I147","M","0",44
"V149","I148","M","0",52
"V153","I152","F","0",42
"V160","I159","M","0",40
"V168","I167","M","0",53
"V174","I173","F","0",47
"V176","I175","M","0",51
"V183","I182","M","0",51
"V184","I183","M","0",50
"V185","I184","F","0",45
"V186","I185","F","0",49
"V189","I188","M","0",45
"V191","I190","F","0",45
"V213","I212","M","0",42
"V223","I222","F","0",48
"V225","I224","F","0",37
"V226","I225","F","0",40
"V229","I228","F","0",55
"V231","I230","F","0",50
"V235","I234","F","0",51
"V245","I244","F","0",41
"V252","I251","F","0",48
"V255","I254","F","0",45
"V258","I257","M","0",48
"V261","I260","F","0",53
"V268","I267","M","0",34
"V269","I268","M","0",38
"V275","I274","F","0",54
"V280","I279","M","0",55
"V283","I282","M","0",50
"V285","I284","M","0",47
"V290","I289","F","0",42
"V292","I291","M","0",49
"V295","I294","M","0",55
"V297","I296","F","0",51
"V299","I298","M","0",38
"V303","I302","F","0",43
"V305","I304","F","0",37
"V311","I310","M","0",48
"V312","I311","F","0",58
"V316","I315","F","0",49
"V318","I317","M","0",40
"V320","I319","M","0",45
"V325","I324","F","0",45
"V327","I326","F","0",46
"V328","I327","M","0",55
"V348","I347","F","0",47
"V350","I349","M","0",43
"V351","I350","M","0",51
"V355","I354","F","0",45
"V373","I372","M","0",47
"V378","I377","M","0",46
"V379","I378","F","0",48
"V380","I379","M","0",57
"V383","I382","F","0",45
"V392","I391","F","0",52
"V395","I394","F","0",35
"V396","I395","F","0",50
"V404","I403","M","0",46
"V413","I412","M","0",60
"V419","I418","F","0",46
"V422","I421","F","0",40
"V423","I422","F","0",45
"V431","I430","F","0",47
"V433","I432","F","0",48
"V440","I439","F","0",47
"V443","I442","M","0",50
"V445","I444","F","0",41
"V455","I454","M","0",52
"V459","I458","M","0",54
"V461","I460","M","0",45
"V466","I465","F","0",43
"V470","I469","F","0",43
"V479","I478","M","0",39
"V480","I479","M","0",43
"V482","I481","F","0",56
"V491","I490","F","0",40
"V496","I495","M","0",46
"V505","I504","M","0",46
"V507","I506","M","0",45
"V508","I507","M","0",46
"V513","I512","M","0",75
"V514","I513","M","0",41
"V515","I514","F","0",48
"V519","I518","F","0",52
"V523","I522","M","0",53
"V524","I523","M","0",47
"V526","I525","M","0",48
"V533","I532","M","0",44
"V536","I535","M","0",43
"V537","I536","F","0",47
"V539","I538","M","0",42
"V543","I542","M","0",50
"V545","I544","F","0",46
"V553","I552","F","0",51
"V573","I572","F","0",41
"V574","I573","F","0",43
"V586","I585","F","0",41
"V590","I589","M","0",59
"V601","I600","M","0",51
"V602","I601","F","0",37
"V609","I608","M","0",48
"V610","I609","F","0",45
